 2020-11-29 10:34:55,522 StockWatcher - start program 
 2020-11-29 10:34:55,523 Start watching MSFT: Price: 20 
 2020-11-29 10:34:55,523 MSFT	20 
 2020-11-29 10:34:55,525 Start watching GOOG: Price: 20 
 2020-11-29 10:34:55,525 GOOG	20 
 2020-11-29 10:34:55,525 Start watching AAPL: Price: 20 
 2020-11-29 10:34:55,525 AAPL	20 
 2020-11-29 10:34:55,526 Start watching AMZN: Price: 20 
 2020-11-29 10:34:55,527 AMZN	20 
 2020-11-29 10:36:55,525 MSFT	25 
 2020-11-29 10:36:55,527 AAPL	25 
 2020-11-29 10:36:55,527 GOOG	25 
 2020-11-29 10:36:55,528 AMZN	25 
 2020-11-29 10:38:55,531 MSFT	30 
 2020-11-29 10:38:55,534 AAPL	30 
 2020-11-29 10:38:55,537 AMZN	30 
 2020-11-29 10:38:55,542 GOOG	30 
 2020-11-29 10:40:55,536 MSFT	30 
 2020-11-29 10:40:55,538 AAPL	30 
 2020-11-29 10:40:55,541 AMZN	30 
 2020-11-29 10:40:55,546 GOOG	30 
 2020-11-29 10:42:55,537 MSFT	30 
 2020-11-29 10:42:55,539 AAPL	30 
 2020-11-29 10:42:55,542 AMZN	30 
 2020-11-29 10:42:55,547 GOOG	30 
 2020-11-29 10:44:55,537 MSFT	20 
 2020-11-29 10:44:55,539 AAPL	20 
 2020-11-29 10:44:55,542 AMZN	20 
 2020-11-29 10:44:55,547 GOOG	20 
 2020-11-29 10:46:55,539 MSFT	20 
 2020-11-29 10:46:55,540 AAPL	20 
 2020-11-29 10:46:55,543 AMZN	20 
 2020-11-29 10:46:55,548 GOOG	20 
 2020-11-29 10:48:55,540 MSFT	25 
 2020-11-29 10:48:55,541 AAPL	25 
 2020-11-29 10:48:55,544 AMZN	25 
 2020-11-29 10:48:55,549 GOOG	25 
 2020-11-29 10:49:18,089 StockWatcher - end program 
